Title,Year,Directors,WatchedDate
Persona,1966,Ingmar Bergman,2016-12-14
Into the Wild,2007,Sean Penn,2016-12-15
12 Years a Slave,2013,Steve McQueen,2017-01-10
Network,1976,Sidney Lumet,2017-01-30
Monty Python's Life of Brian,1979,Terry Jones,2017-02-05
Mad Max: Fury Road,2015,George Miller,2017-02-10
Million Dollar Baby,2004,Clint Eastwood,2017-02-13
Rush,2013,Ron Howard,2017-02-27
Hotel Rwanda,2004,Terry George,2017-05-03
Titanic,1997,James Cameron,2017-05-04
Star Wars: The Force Awakens,2015,J.J. Abrams,2017-06-07
Casa Blanca,1942,Aleksandra Maciuszek,2017-06-15
Iron Man,2008,Jon Favreau,2017-07-05
Iron Man 2,2010,Jon Favreau,2017-09-06
Iron Man 3,2013,Shane Black,2017-09-08
The Great Escape,1963,John Sturges,2017-10-18
Whiplash,2014,Damien Chazelle,2017-11-03
Logan,2017,James Mangold,2018-03-06
Spotlight,2015,Tom McCarthy,2018-03-07
Butch Cassidy and the Sundance Kid,1969,George Roy Hill,2018-03-26
The Terminator,1984,James Cameron,2018-04-13
Akira,1988,Katsuhiro Ôtomo,2018-04-19
Guardians of the Galaxy,2014,James Gunn,2018-05-16
Rocky,1976,John G. Avildsen,2018-06-09
Slumdog Millionaire,2008,Danny Boyle,2018-07-24
Seven,1995,David Fincher,2018-08-05
On the Waterfront,1954,Elia Kazan,2018-09-01
Avatar,2009,James Cameron,2018-09-28
All About Eve,1950,Joseph L. Mankiewicz,2018-09-30
Jurassic Park,1993,Steven Spielberg,2018-10-04
Ferris Bueller's Day Off,1986,John Hughes,2018-10-09
The Breakfast Club,1985,John Hughes,2018-11-07
Jaws,1975,Steven Spielberg,2018-12-04
The Wizard of Oz,1939,Victor Fleming,2018-12-10
Mad Max 2,1981,George Miller,2018-12-20
Dead Poets Society,1989,Peter Weir,2019-01-04
Catch Me If You Can,2002,Steven Spielberg,2019-01-11
Tempo de Despertar,1990,Penny Marshall,2019-01-17
A Estranha Vida de Timothy Green,2012,Peter Hedges,2019-01-28
Os Intocáveis,1987,Maurício Farias,2019-01-31
O Homem que viu o Infinito,2015,Matt Brown,2019-02-02
A Garota Dinamarquesa,2015,Tom Hooper,2019-02-04
Lolita,1997,Adrian Lyne,2019-02-06
Nada a Esconder,2018,Michael Haneke,2019-02-18
O Babadook,2014,Jennifer Kent,2019-02-19
Monsters Inc.,2001,Andy Meyers,2019-02-20
Little Evil,2017,Eli Craig,2019-03-03
O Lagosta,2015,Yorgos Lanthimos,2019-03-09
Madagascar 3: Os Procurados,2012,Eric Darnell,2019-04-08
Os Pinguins de Madagascar,2014,Eric Darnell,2019-04-20
Capitão Fantástico,2016,Guilherme Paganini LaMotta,2019-04-23
Doutor Estranho,2016,Scott Derrickson,2019-04-26
Homem-Aranha: De Volta ao Lar,2017,Jon Watts,2019-04-28
Vingadores: Guerra Infinita,2018,Anthony Russo,2019-05-02
Toy Story 4,2019,Josh Cooley,2019-05-05
The Mist,2007,Frank Darabont,2019-05-07
Pet Sematary,2019,Kevin Kölsch,2019-05-23
Persona,1966,Ingmar Bergman,2019-06-19
Creepshow,1982,George A. Romero,2019-06-23
Creepshow 2,1987,Michael Gornick,2019-07-01
Blade Runner 2049,2017,Denis Villeneuve,2019-07-11
Bohemian Rhapsody,2018,Bryan Singer,2019-07-28
Cujo,1983,Lewis Teague,2019-07-30
Dogtooth,2009,Yorgos Lanthimos,2019-08-05
Eraserhead,1977,David Lynch,2019-08-09
The Elephant Man,1980,David Lynch,2019-08-13
Mother!,2017,Darren Aronofsky,2019-08-20
Green Book,2018,Peter Farrelly,2019-08-28
Three Billboards Outside Ebbing,2019,Martin McDonagh,2019-08-31
Missouri,2017,Arthur Penn,2019-09-06
Avengers: Infinity War,2018,Anthony Russo,2019-09-21
Avengers: Endgame,2019,Anthony Russo,2019-09-22
Joker,2019,Todd Phillips,2019-10-04
Carrie,1976,Brian De Palma,2019-10-11
El Camino: A Breaking Bad Movie,2019,Vince Gilligan,2019-10-20
Dreamcatcher,2003,Lawrence Kasdan,2019-10-23
