title,beat_date,year_I_played,plataform,score
Resident Evil 3 (2020), 07/02/2021, 2021,PC, 3
Halo: Combat Evolved (2001), 07/03/2021, 2021,PC, 3
Horizon Zero Dawn (2017), 10/03/2021, 2021,PC, 3
Halo 2 (2004), 13/03/2021, 2021,PC, 3
Halo 3 (2007), 14/03/2021, 2021,PC, 3
Halo: Reach (2010), 21/03/2021, 2021,PC, 3
A Short Hike, 17/07/2021, 2021,PC, 4
Resident Evil Village, 18/07/2021, 2021,PC, 4
Metro Exodus, 19/07/2021, 2021,PC, 4
God of War (2018), 08/08/2021, 2021,PlayStation 5, 4
Astro's Playroom, 09/08/2021, 2021,PlayStation 5, 4
Uncharted 4: A Thief's End, 11/08/2021, 2021,PlayStation 5, 4
The Last of Us Remastered, 15/08/2021, 2021,PlayStation 5, 4
The Last of Us Part II, 11/09/2021, 2021,PlayStation 5, 5
Marvel's Spider-Man (2018), 19/09/2021, 2021,PlayStation 5, 4
A Plague Tale: Innocence, 20/09/2021, 2021,PlayStation 5, 3
Mass Effect 1: Legendary Edition, 01/11/2021, 2021,PlayStation 5, 3
Ratchet & Clank: Rift Apart, 20/11/2021, 2021,PlayStation 5, 3
Marvel's Spider-Man: Miles Morales, 21/11/2021, 2021,PlayStation 5, 4
Ghost of Tsushima, 09/01/2022, 2022,PlayStation 5, 4
Unpacking, 09/01/2022, 2022,PC, 4
Mass Effect 2: Legendary Edition, 14/02/2022, 2022,PlayStation 5, 3
Vader Immortal: Episode I, 11/05/2022, 2022,Meta Quest 2, 3
Moss, 15/06/2022, 2022,Meta Quest 2,3
Star Wars Jedi: Fallen Order, 24/06/2022, 2022,PlayStation 5, 4
God of War III Remastered, 10/07/2022, 2022,PlayStation 5, 3
Horizon Forbidden West, 24/07/2022, 2022,PlayStation 5, 3
Firewatch, 13/08/2022, 2022,Nintendo Switch, 4
Final Fantasy VII Remake, 04/09/2022, 2022,PlayStation 5, 4
Cyberpunk 2077, 07/09/2022, 2022,PlayStation 5, 3
Rise of the Tomb Raider, 10/09/2022, 2022,PlayStation 5, 3
Stray, 11/09/2022, 2022,PlayStation 5, 3
Titanfall 2, 18/09/2022, 2022,PlayStation 5, 3
Control, 28/09/2022, 2022,PlayStation 5, 3
Hitman 3, 25/10/2022, 2022,PlayStation 5, 3
